Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
129884400,3,2,68.0,221.0,1,-33.2833,-70.8778
130000000,5,3,150.0,190.0,2,-33.727,-70.7046
172998805,4,3,90.0,182.0,3,-33.6167,-70.5667
135296250,3,2,85.0,175.0,1,-33.727,-70.7046
195000000,3,3,130.0,402.0,1,-33.4264,-70.6996
144316000,3,3,84.0,180.0,3,-33.5985,-70.8734
140000000,3,3,92.0,172.0,4,-33.6167,-70.5667
150000000,5,2,130.0,300.0,1,-33.4264,-70.6996
164159450,3,3,120.0,189.0,1,-33.2833,-70.8778
145000000,2,1,70.0,140.0,0,-33.4975,-70.6287
124000000,3,1,62.0,165.0,2,-33.5167,-70.7667
110000000,2,1,92.0,82.0,1,-33.2468,-70.625
110000000,3,1,50.0,131.0,1,-33.6167,-70.5667
400000000,7,3,220.0,270.0,2,-33.5007,-70.6514
251831420,3,3,140.0,298.0,2,-33.4333,-70.7167
188000000,4,2,131.0,77.0,0,-33.4624,-70.6491
210000000,3,2,110.0,133.0,1,-33.5167,-70.7667
142512050,4,2,120.0,209.0,4,-33.582,-70.692
94100000,3,1,55.0,100.0,1,-33.5167,-70.7667
135000000,3,1,99.0,170.0,1,-33.5167,-70.7667
134000000,3,3,83.0,137.0,2,-33.5167,-70.7667
120000000,4,2,101.0,140.0,2,-33.5167,-70.6389
149908245,3,2,84.0,209.0,3,-33.6167,-70.5667
364397900,3,3,140.0,272.0,2,-33.4833,-70.55
104051836,3,1,61.0,108.0,2,-33.6167,-70.5667
163726502,4,3,113.0,217.0,3,-33.2833,-70.8778
523145500,6,3,210.0,460.0,2,-33.4088,-70.5671
90000000,3,1,90.0,100.0,1,-33.3667,-70.7333
195006995,4,2,60.0,200.0,4,-33.6167,-70.5667
162355500,3,2,96.0,300.0,3,-33.7509,-70.8983
227297700,3,3,98.0,223.0,2,-33.727,-70.7046
342028920,4,4,129.0,160.0,2,-33.5167,-70.6389
83000000,3,2,56.0,62.0,1,-33.5167,-70.7667
120000000,4,1,152.0,225.0,2,-33.2642,-70.715
115000000,3,2,57.0,120.0,3,-33.6167,-70.5667
95000000,3,3,76.0,117.0,1,-33.5167,-70.7667
85000000,2,1,74.0,102.0,1,-33.5167,-70.7667
138000000,4,3,90.0,122.0,1,-33.5167,-70.7667
94959928,3,2,109.0,128.0,1,-33.5985,-70.8734
247141150,3,3,120.0,421.0,2,-33.1829,-70.6747
120000000,3,2,61.0,163.0,2,-33.519,-70.629
338421020,3,3,132.0,450.0,2,-33.4333,-70.7167
140000000,4,2,204.0,905.0,0,-33.2833,-70.8778
110000000,2,1,50.0,150.0,2,-33.5719,-70.8068
487066500,5,3,700.0,140.0,0,-33.443,-70.532
315691250,3,2,165.0,119.0,2,-33.443,-70.532
135000000,3,2,180.0,120.0,1,-33.582,-70.692
86589600,3,1,60.0,82.0,1,-33.3667,-70.7333
138000000,3,1,51.0,128.0,2,-33.5167,-70.7667
63030013,4,1,62.0,144.0,1,-33.422,-70.72
162355500,3,2,101.0,191.0,2,-33.5167,-70.7667
94000000,3,1,55.0,100.0,1,-33.5167,-70.7667
150000000,4,1,123.0,123.0,1,-33.4037,-70.64
122000000,3,2,81.0,108.0,1,-33.5167,-70.7667
158747600,3,3,96.0,175.0,1,-33.5985,-70.8734
649422000,6,4,242.0,365.0,3,-33.435,-70.615
220000000,3,3,96.0,253.0,2,-33.727,-70.7046
129884400,3,3,90.0,150.0,3,-33.6167,-70.5667
130000000,3,2,120.0,400.0,5,-33.7509,-70.8983
378468710,3,4,180.0,390.0,2,-33.4333,-70.7167
287188840,3,2,184.0,256.0,2,-33.5167,-70.7667
