Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
105000000,2,1.0,112.0,145.0,1.0,-33.4667,-70.6667
75000000,3,1.0,103.0,73.0,1.0,-33.1829,-70.6747
53000000,2,1.0,57.0,67.0,1.0,-33.1829,-70.6747
94000000,2,1.0,72.0,131.0,0.0,-33.45,-70.7
75000000,3,1.0,70.0,80.0,2.0,-33.1829,-70.6747
105000000,2,1.0,50.0,120.0,1.0,-33.5167,-70.6389
76000000,3,1.0,72.0,72.0,1.0,-33.5167,-70.7667
76000000,3,1.0,46.0,90.0,1.0,-33.5167,-70.7667
90000000,3,1.0,100.0,134.0,3.0,-33.5167,-70.7667
75000000,3,2.0,50.0,88.0,1.0,-33.582,-70.692
153037000,3,2.0,98.0,130.0,2.0,-33.5167,-70.7667
75000000,2,2.0,70.0,78.0,0.0,-33.3667,-70.7333
50000000,3,1.0,31.0,73.0,0.0,-33.6167,-70.5667
75000000,3,1.0,62.0,88.0,1.0,-33.349,-70.6383
75000000,3,2.0,90.0,80.0,1.0,-33.349,-70.6383
180000000,3,2.0,79.0,114.0,0.0,-33.4624,-70.6491
120000000,4,1.0,131.0,138.0,2.0,-33.4624,-70.6491
125000000,3,2.0,80.0,100.0,2.0,-33.5167,-70.7667
65129700,3,1.0,52.0,75.0,1.0,-33.582,-70.692
115000000,3,1.0,76.0,120.0,2.0,-33.5167,-70.7667
261586500,3,3.0,113.0,130.0,1.0,-33.5007,-70.6514
266569100,4,3.0,109.0,119.0,1.0,-33.2773,-70.6106
121000000,3,2.0,100.0,136.0,1.0,-33.5167,-70.7667
139000000,5,2.0,127.0,112.0,2.0,-33.5167,-70.7667
91000000,3,1.0,55.0,100.0,1.0,-33.5167,-70.7667
85000000,2,2.0,80.0,138.0,1.0,-33.6844,-70.9248
85000000,2,1.0,65.0,85.0,1.0,-33.5167,-70.6389
184356200,3,2.0,90.0,149.0,2.0,-33.3667,-70.7333
190406500,4,4.0,130.0,130.0,1.0,-33.5167,-70.7667
109900000,3,2.0,85.0,120.0,1.0,-33.5167,-70.7667
153037000,4,3.0,107.0,145.0,0.0,-33.5167,-70.7667
136000000,3,3.0,92.0,148.0,1.0,-33.582,-70.692
119000000,5,2.0,113.0,108.0,2.0,-33.5167,-70.7667
135000000,4,3.0,93.0,124.0,0.0,-33.5167,-70.7667
175000000,4,2.0,110.0,130.0,3.0,-33.5167,-70.7667
85000000,4,2.0,70.0,80.0,1.0,-33.4624,-70.6491
81857000,3,2.0,53.0,65.0,1.0,-33.5719,-70.8068
162000000,3,2.0,80.0,140.0,1.0,-33.6167,-70.5667
130000000,2,1.0,60.0,100.0,3.0,-33.2833,-70.8778
188627000,3,3.0,90.0,120.0,3.0,-33.5985,-70.8734
261195010,4,3.0,94.0,104.0,1.0,-33.435,-70.615
40000000,3,1.0,37.0,32.0,0.0,-33.4624,-70.6491
99000000,2,1.0,70.0,128.0,1.0,-33.4766,-70.6062
56000000,3,1.0,65.0,70.0,0.0,-33.4667,-70.6667
4520,4,3.0,82.0,140.0,4.0,-33.4624,-70.6491
198000000,7,3.0,180.0,120.0,2.0,-33.45,-70.7
134530200,3,3.0,76.0,118.0,2.0,-33.5167,-70.7667
150000000,3,1.0,76.0,145.0,1.0,-33.2468,-70.625
138089200,3,2.0,74.0,140.0,1.0,-33.5719,-70.8068
142360000,3,3.0,84.0,133.0,2.0,-33.2833,-70.8778
77799740,2,1.0,78.0,70.0,2.0,-33.582,-70.692
115000000,4,2.0,90.0,100.0,1.0,-33.4667,-70.6667
102641560,3,1.0,61.0,108.0,2.0,-33.6167,-70.5667
65500000,2,1.0,54.0,97.0,1.0,-33.7843,-70.7217
72000000,3,2.0,65.0,90.0,1.0,-33.5719,-70.8068
115952220,3,2.0,63.0,107.0,2.0,-33.582,-70.692
97000000,3,3.0,79.0,106.0,2.0,-33.5167,-70.7667
105000000,4,1.0,70.0,135.0,1.0,-33.443,-70.532
75000000,2,1.0,56.0,80.0,2.0,-33.6167,-70.5667
69500000,2,1.0,54.0,82.0,1.0,-33.727,-70.7046
140000000,3,2.0,90.0,110.0,1.0,-33.6167,-70.5667
75000000,2,1.0,60.0,90.0,1.0,-33.5719,-70.8068
64500000,5,2.0,130.0,115.0,2.0,-33.6167,-70.5667
88000000,3,2.0,65.0,90.0,2.0,-33.4333,-70.7167
74000000,4,2.0,50.0,69.0,1.0,-33.5167,-70.7667
227776000,2,1.0,60.0,80.0,0.0,-33.4088,-70.5671
120000000,2,2.0,75.0,149.0,1.0,-33.5167,-70.7667
120000000,4,2.0,82.0,104.0,1.0,-33.5167,-70.7667
120000000,3,3.0,84.0,120.0,1.0,-33.6167,-70.5667
117589360,3,2.0,102.0,86.0,1.0,-33.6167,-70.5667
176900000,4,2.0,100.0,124.0,1.0,-33.2773,-70.6106
130000000,3,1.0,75.0,102.0,1.0,-33.6167,-70.5667
122000000,3,1.0,91.0,138.0,1.0,-33.5167,-70.7667
93000000,2,2.0,49.0,80.0,1.0,-33.6167,-70.5667
170000000,2,1.0,85.0,100.0,0.0,-33.4624,-70.6491
76000000,3,2.0,90.0,110.0,3.0,-33.6167,-70.5667
85000000,2,1.0,52.0,91.0,0.0,-33.1829,-70.6747
366577000,3,3.0,135.0,135.0,2.0,-33.1829,-70.6747
87000000,3,1.0,65.0,90.0,2.0,-33.5719,-70.8068
88000000,4,2.0,80.0,100.0,1.0,-33.6167,-70.5667
77000000,3,2.0,55.0,93.0,4.0,-33.5167,-70.7667
125000000,3,2.0,90.0,98.0,1.0,-33.4333,-70.7167
126807170,4,3.0,80.0,105.0,3.0,-33.6167,-70.5667
80077500,3,1.0,62.0,74.0,0.0,-33.6167,-70.5667
130000000,4,2.0,84.0,90.0,2.0,-33.5167,-70.7667
56000000,3,1.0,53.0,63.0,0.0,-33.519,-70.629
110329000,3,1.0,56.0,90.0,1.0,-33.6167,-70.5667
115000000,3,2.0,62.0,100.0,1.0,-33.5167,-70.7667
150000000,3,2.0,65.0,105.0,1.0,-33.5167,-70.6389
261586500,3,1.0,91.0,91.0,0.0,-33.435,-70.615
65841500,2,1.0,80.0,56.0,1.0,-33.3667,-70.7333
82000000,4,2.0,48.0,123.0,2.0,-33.6167,-70.5667
109000000,4,2.0,90.0,140.0,1.0,-33.7015,-70.79
118000000,6,3.0,120.0,140.0,1.0,-33.688,-71.2113
65000000,2,1.0,55.0,70.0,1.0,-33.2833,-70.8778
85416000,5,2.0,98.0,107.0,1.0,-33.582,-70.692
263010100,3,2.0,83.0,144.0,0.0,-33.4088,-70.5671
295000000,4,2.0,87.0,144.0,0.0,-33.2773,-70.6106
78298000,3,1.0,120.0,65.0,0.0,-33.519,-70.629
66000000,3,1.0,70.0,114.0,1.0,-33.6167,-70.5667
73000000,4,1.0,66.0,100.0,1.0,-33.349,-70.6383
150000000,3,3.0,93.0,93.0,2.0,-33.5985,-70.8734
67000000,4,1.0,100.0,106.0,2.0,-33.452,-70.723
154900000,3,1.0,100.0,100.0,2.0,-33.2773,-70.6106
56900000,2,1.0,36.0,64.0,1.0,-33.4333,-70.7167
88000000,3,2.0,85.0,90.0,1.0,-33.3667,-70.7333
56000000,3,2.0,100.0,100.0,1.0,-33.6167,-70.5667
105000000,2,2.0,107.0,110.0,1.0,-33.45,-70.7
142004100,5,2.0,92.0,120.0,2.0,-33.5167,-70.7667
138480690,3,2.0,104.0,95.0,0.0,-33.2468,-70.625
254432910,3,2.0,70.0,84.0,0.0,-33.2773,-70.6106
387575100,3,2.0,99.0,127.0,0.0,-33.2773,-70.6106
384016100,3,2.0,94.0,122.0,0.0,-33.2773,-70.6106
355544100,2,2.0,93.0,124.0,0.0,-33.2773,-70.6106
352341000,2,3.0,96.0,123.0,1.0,-33.2773,-70.6106
675498200,8,4.0,240.0,20.0,3.0,-33.435,-70.615
85000000,3,1.0,75.0,75.0,0.0,-33.2773,-70.6106
52317300,2,1.0,100.0,120.0,1.0,-33.452,-70.723
90000000,3,1.0,97.0,120.0,0.0,-33.368,-70.642
57000000,4,2.0,57.0,79.0,2.0,-33.2833,-70.8778
135000000,3,3.0,83.0,120.0,3.0,-33.4034,-70.7213
500000000,6,4.0,325.0,125.0,1.0,-33.435,-70.615
160155000,4,3.0,96.0,148.0,1.0,-33.6167,-70.5667
302515000,3,3.0,93.0,121.0,0.0,-33.2773,-70.6106
85416000,2,1.0,52.0,91.0,0.0,-33.1829,-70.6747
177950000,3,3.0,90.0,100.0,1.0,-33.5167,-70.6389
130000000,5,2.0,75.0,144.0,1.0,-33.3641,-70.6134
82000000,2,1.0,38.0,124.0,1.0,-33.6167,-70.5667
77000000,4,2.0,75.0,112.0,0.0,-33.6167,-70.5667
55000000,2,2.0,59.0,67.0,1.0,-33.1829,-70.6747
395049000,4,3.0,136.0,110.0,2.0,-33.35,-70.6
169999990,3,3.0,97.0,137.0,1.0,-33.6167,-70.5667
110329000,3,2.0,75.0,139.0,0.0,-33.6167,-70.5667
80000000,2,1.0,56.0,92.0,1.0,-33.4624,-70.6491
135242000,3,1.0,70.0,100.0,0.0,-33.5167,-70.7667
249130000,6,2.0,154.0,128.0,0.0,-33.2773,-70.6106
85000000,2,2.0,67.0,66.0,0.0,-33.4037,-70.64
